Baseline - Traditional CDN-based System,,,,,NovaGenesis - Named Content Distribution,,,
Image,Size (Bytes),Data Transfer Rate (KB/s),Transfer Time (s),,Image,Size (Bytes),Data Transfer Rate (KB/s),Transfer Time (s)
53,"5,840","11,000",0.5309,,53,"5,840",10616.73872,0.55007476
54,"5,850","11,300",0.5177,,54,"5,850",10590.51077,0.55238129
55,"5,870","11,400",0.5149,,55,"5,870",10645.81025,0.551390628
56,"5,860","10,100",0.5802,,56,"5,860",10595.34703,0.553072965
57,"5,840","11,300",0.5168,,57,"5,840",10569.07824,0.552555281
58,"5,850","11,300",0.5177,,58,"5,850",10573.77265,0.553255701
59,"5,840","11,300",0.5168,,59,"5,840",10509.83416,0.555670043
60,"5,910","11,500",0.5139,,60,"5,910",10647.22635,0.555074139
61,"5,860","11,400",0.514,,61,"5,860",10513.48122,0.557379604
62,"5,860","11,400",0.514,,62,"5,860",10497.64409,0.558220487
63,"5,870","11,100",0.5288,,63,"5,870",10519.60833,0.558005566
64,"5,810","11,200",0.5188,,64,"5,810",10408.43281,0.55820123
65,"5,830","11,200",0.5205,,65,"5,830",10457.0751,0.557517274
66,"5,860","11,300",0.5186,,66,"5,860",10485.25399,0.558880119
67,"5,850","11,300",0.5177,,67,"5,850",10837.95114,0.539769918
68,"5,880","11,400",0.5158,,68,"5,880",10850.37651,0.541916679
69,"5,870","11,400",0.5149,,69,"5,870",10816.78237,0.542675243
70,"5,880","11,400",0.5158,,70,"5,880",10818.05782,0.543535642
71,"5,840","11,300",0.5168,,71,"5,840",10690.3196,0.546288625
72,"5,840","11,100",0.5261,,72,"5,840",10669.37488,0.547361028
73,"5,870","11,400",0.5149,,73,"5,870",10746.20376,0.54623941
74,"5,850","11,400",0.5132,,74,"5,850",10714.19256,0.546004747
75,"5,860","11,300",0.5186,,75,"5,860",10706.88605,0.547311326
76,"5,880","11,400",0.5158,,76,"5,880",10771.82027,0.545868744
77,"5,840","11,100",0.5261,,77,"5,840",10694.88643,0.546055355
78,"5,880","11,300",0.5204,,78,"5,880",10750.53418,0.546949565
79,"5,830","11,300",0.5159,,79,"5,830",10940.63941,0.532875619
80,"5,820","11,300",0.515,,80,"5,820",10849.01205,0.536454377
81,"5,860","11,300",0.5186,,81,"5,860",10900.84353,0.537573077
82,"5,910","11,500",0.5139,,82,"5,910",10990.34575,0.537744684
83,"5,850","11,300",0.5177,,83,"5,850",10869.15063,0.538220529
84,"5,820","11,200",0.5196,,84,"5,820",10797.81927,0.538997723
85,"5,870","11,400",0.5149,,85,"5,870",10845.29242,0.541248661
86,"5,860","11,300",0.5186,,86,"5,860",10814.64289,0.541857929
87,"5,870","11,400",0.5149,,87,"5,870",10999.03943,0.533682967
88,"5,850","11,300",0.5177,,88,"5,850",10903.5396,0.53652302
89,"5,830","11,300",0.5159,,89,"5,830",10837.60319,0.537941821
90,"5,800","11,200",0.5179,,90,"5,800",10707.60518,0.541671074
91,"5,870","11,400",0.5149,,91,"5,870",10857.31319,0.540649413
92,"5,840","11,300",0.5168,,92,"5,840",10799.23904,0.540778844
93,"5,840","11,300",0.5168,,93,"5,840",10781.38953,0.541674149
94,"5,870","11,000",0.5336,,94,"5,870",10817.32139,0.542648202
95,"5,820","11,300",0.515,,95,"5,820",10738.89974,0.541954962
96,"5,850","11,300",0.5177,,96,"5,850",10777.70743,0.542787048
97,"5,900","11,400",0.5175,,97,"5,900",10886.80963,0.541940219
98,"5,830","11,300",0.5159,,98,"5,830",10755.16105,0.542065337
99,"5,820","11,900",0.4891,,99,"5,820",10707.11441,0.543563819
100,"5,830","11,300",0.5159,,100,"5,830",10760.01955,0.541820577
101,"5,840","11,300",0.5168,,101,"5,840",10764.34687,0.542531755
102,"5,890","11,400",0.5167,,102,"5,890",10819.46998,0.544388959
103,"5,860","11,200",0.5232,,103,"5,860",10872.10003,0.538994305
104,"5,850","11,300",0.5177,,104,"5,850",10834.87125,0.539923352
105,"5,860","11,400",0.514,,105,"5,860",10644.18671,0.550535251
106,"5,890","11,400",0.5167,,106,"5,890",10756.77203,0.547562037
107,"5,870","11,400",0.5149,,107,"5,870",10498.75252,0.559114046
108,"5,880","11,400",0.5158,,108,"5,880",10409.98923,0.564842083
109,"5,830","10,700",0.5449,,109,"5,830",10326.66845,0.564557682
110,"5,820","11,300",0.515,,110,"5,820",10296.08896,0.565263181
111,"5,870","11,400",0.5149,,111,"5,870",10362.48633,0.566466368
112,"5,880","11,400",0.5158,,112,"5,880",10341.4824,0.568583862
113,"5,870","11,400",0.5149,,113,"5,870",10311.0407,0.569292681
114,"5,880","11,400",0.5158,,114,"5,880",10322.2921,0.569640923
115,"5,830","11,300",0.5159,,115,"5,830",10225.28346,0.570155343
116,"5,820","11,600",0.5017,,116,"5,820",10167.09695,0.572434789
117,"5,840","11,300",0.5168,,117,"5,840",10226.28522,0.571077363
118,"5,850","11,300",0.5177,,118,"5,850",10268.25857,0.569716857
119,"5,870","11,400",0.5149,,119,"5,870",10289.68765,0.570474071
120,"5,830","11,300",0.5159,,120,"5,830",10176.59734,0.572883038
121,"5,830","11,200",0.5205,,121,"5,830",10166.26495,0.573465282
122,"5,860","11,400",0.514,,122,"5,860",10213.89087,0.573728472
123,"5,840","11,300",0.5168,,123,"5,840",10151.56446,0.575280788
124,"5,860","11,300",0.5186,,124,"5,860",10173.9194,0.575982546
125,"5,830","11,300",0.5159,,125,"5,830",10085.02028,0.578085104
126,"5,850","11,200",0.5223,,126,"5,850",10103.13188,0.579028372
127,"5,850","11,300",0.5177,,127,"5,850",11068.07541,0.528547176
128,"5,860","11,300",0.5186,,128,"5,860",11040.59284,0.530768599
129,"5,810","11,400",0.5096,,129,"5,810",10934.25052,0.531357864
130,"5,840","11,300",0.5168,,130,"5,840",10913.84443,0.535100169
131,"5,860","11,300",0.5186,,131,"5,860",10981.11513,0.533643435
132,"5,840","11,300",0.5168,,132,"5,840",10922.99329,0.534651981
133,"5,850","11,300",0.5177,,133,"5,850",11209.66272,0.521871188
134,"5,850","10,900",0.5367,,134,"5,850",11190.79306,0.522751155
135,"5,850","11,400",0.5132,,135,"5,850",11102.19294,0.526922927
136,"5,890","11,400",0.5167,,136,"5,890",11174.3852,0.52709835
137,"5,870","11,300",0.5195,,137,"5,870",11090.72443,0.529271107
138,"5,860","11,400",0.514,,138,"5,860",11064.09072,0.529641355
139,"5,860","11,400",0.514,,139,"5,860",11018.39526,0.531837882
140,"5,840","11,300",0.5168,,140,"5,840",10973.37498,0.532197251
141,"5,860","11,300",0.5186,,141,"5,860",10971.9303,0.534090159
142,"5,860","11,400",0.514,,142,"5,860",10947.86696,0.535264086
143,"5,890","11,400",0.5167,,143,"5,890",11012.30135,0.534856413
144,"5,850","11,400",0.5132,,144,"5,850",10903.84254,0.536508114
145,"5,850","11,300",0.5177,,145,"5,850",10878.36013,0.537764877
146,"5,860","11,300",0.5186,,146,"5,860",10877.75488,0.538714106
147,"5,860","11,400",0.514,,147,"5,860",10921.68111,0.536547436
148,"5,830","11,200",0.5205,,148,"5,830",10821.69845,0.538732439
149,"5,840","11,400",0.5123,,149,"5,840",10847.68031,0.538363948
150,"5,880","11,200",0.525,,150,"5,880",10950.40853,0.536966268
151,"5,890","11,400",0.5167,,151,"5,890",10917.05987,0.539522552
152,"5,870","11,400",0.5149,,152,"5,870",10894.03489,0.538826987
153,"5,830","11,300",0.5159,,153,"5,830",10816.65566,0.538983599
154,"5,900","11,400",0.5175,,154,"5,900",11082.8773,0.532352731
155,"5,860","11,400",0.514,,155,"5,860",10939.00795,0.535697572
156,"5,880","10,400",0.5654,,156,"5,880",10961.08267,0.536443358
157,"5,870","11,400",0.5149,,157,"5,870",11073.81506,0.530079288
158,"5,860","11,300",0.5186,,158,"5,860",11030.93485,0.531233307
159,"5,830","11,300",0.5159,,159,"5,830",10952.71652,0.532288039
160,"5,880","11,400",0.5158,,160,"5,880",11006.68885,0.534220607
161,"5,890","11,400",0.5167,,161,"5,890",11005.88945,0.535168014
162,"5,860","11,400",0.514,,162,"5,860",10929.29764,0.536173521
