Baseline - Traditional CDN-based System,,,,,NovaGenesis - Named Content Distribution,,,
Image,Size (Bytes),Data Transfer Rate (KB/s),Transfer Time (s),,Image,Size (Bytes),Data Transfer Rate (KB/s),Transfer Time (s)
834,"5,830","11,200",0.5205,,834,"5,830",11199.08487,0.52057825
835,"5,870","11,400",0.5149,,835,"5,870",11231.11442,0.522655169
836,"5,870","11,400",0.5149,,836,"5,870",11033.69333,0.532006811
837,"5,880","11,300",0.5204,,837,"5,880",11033.12354,0.532940647
838,"5,810","11,300",0.5142,,838,"5,810",10896.99852,0.533174341
839,"5,890","11,400",0.5167,,839,"5,890",11034.86068,0.533762969
840,"5,870","11,300",0.5195,,840,"5,870",10954.75989,0.535840133
841,"5,800","10,900",0.5321,,841,"5,800",10813.76333,0.536353518
842,"5,840","11,300",0.5168,,842,"5,840",10843.53629,0.538569692
843,"5,840","11,400",0.5123,,843,"5,840",10830.84432,0.539200807
844,"5,870","11,300",0.5195,,844,"5,870",10871.99851,0.539919132
845,"5,840","11,300",0.5168,,845,"5,840",10751.95538,0.543157016
846,"5,830","11,300",0.5159,,846,"5,830",10715.74515,0.544059225
847,"5,850","11,300",0.5177,,847,"5,850",11296.00194,0.517882347
848,"5,860","10,900",0.5376,,848,"5,860",11318.593,0.517732195
849,"5,830","11,300",0.5159,,849,"5,830",11244.56359,0.518472767
850,"5,840","11,400",0.5123,,850,"5,840",11219.18829,0.520536767
851,"5,850","11,300",0.5177,,851,"5,850",11235.71428,0.520661157
852,"5,840","11,300",0.5168,,852,"5,840",11251.134,0.51905879
853,"5,840","11,300",0.5168,,853,"5,840",11206.88077,0.521108426
854,"5,830","11,300",0.5159,,854,"5,830",11147.33478,0.522994968
855,"5,860","11,300",0.5186,,855,"5,860",11183.02682,0.524008401
856,"5,840","11,300",0.5168,,856,"5,840",11125.90802,0.524900978
857,"5,840","11,300",0.5168,,857,"5,840",11144.12441,0.524042965
858,"5,830","10,600",0.55,,858,"5,830",10959.44416,0.531961285
859,"5,840","11,300",0.5168,,859,"5,840",10963.00722,0.532700552
860,"5,870","11,400",0.5149,,860,"5,870",11002.64263,0.533508194
861,"5,860","11,400",0.514,,861,"5,860",10965.32641,0.534411816
862,"5,880","11,100",0.5297,,862,"5,880",10989.57032,0.535052766
863,"5,830","11,300",0.5159,,863,"5,830",10882.94682,0.535700495
864,"5,820","11,200",0.5196,,864,"5,820",10830.74207,0.537359302
865,"5,820","11,300",0.515,,865,"5,820",10812.07613,0.538286998
866,"5,850","10,800",0.5417,,866,"5,850",10849.94797,0.539173093
867,"5,830","11,300",0.5159,,867,"5,830",11257.45094,0.517879228
868,"5,850","10,800",0.5417,,868,"5,850",11249.58999,0.520018952
869,"5,870","11,100",0.5288,,869,"5,870",11276.99396,0.520528788
870,"5,880","11,400",0.5158,,870,"5,880",11296.95384,0.520494293
871,"5,860","10,900",0.5376,,871,"5,860",11277.50458,0.519618499
872,"5,850","11,300",0.5177,,872,"5,850",11188.25559,0.522869714
873,"5,880","11,400",0.5158,,873,"5,880",11290.96641,0.520770303
874,"5,910","11,400",0.5184,,874,"5,910",11346.40686,0.520869741
875,"5,850","11,300",0.5177,,875,"5,850",11176.30081,0.523429004
876,"5,830","11,000",0.53,,876,"5,830",11135.8281,0.52353538
877,"5,850","11,100",0.527,,877,"5,850",11171.6555,0.523646652
878,"5,870","11,400",0.5149,,878,"5,870",11197.3877,0.524229415
879,"5,850","11,400",0.5132,,879,"5,850",11131.94849,0.525514469
880,"5,850","11,300",0.5177,,880,"5,850",11146.57515,0.524824883
881,"5,840","11,300",0.5168,,881,"5,840",11107.62584,0.525764919
882,"5,850","11,300",0.5177,,882,"5,850",11108.1808,0.526638889
883,"5,840","11,300",0.5168,,883,"5,840",11086.6149,0.526761329
884,"5,860","11,400",0.514,,884,"5,860",11080.07427,0.528877321
885,"5,820","11,200",0.5196,,885,"5,820",10994.12867,0.529373466
886,"5,870","10,800",0.5435,,886,"5,870",11102.68392,0.528700992
887,"5,850","11,200",0.5223,,887,"5,850",11236.52156,0.520623751
888,"5,810","11,300",0.5142,,888,"5,810",11154.2756,0.520876497
889,"5,880","11,400",0.5158,,889,"5,880",11273.00413,0.521600093
890,"5,860","11,400",0.514,,890,"5,860",10982.92228,0.533555629
891,"5,880","11,400",0.5158,,891,"5,880",11199.99042,0.525000449
892,"5,900","11,400",0.5175,,892,"5,900",11217.54648,0.525961716
893,"5,870","11,400",0.5149,,893,"5,870",11152.75375,0.52632741
894,"5,820","11,300",0.515,,894,"5,820",11038.15481,0.527262038
895,"5,890","11,400",0.5167,,895,"5,890",11139.3504,0.528756147
896,"5,860","11,400",0.514,,896,"5,860",11070.38737,0.529340104
897,"5,850","11,300",0.5177,,897,"5,850",11013.08485,0.531186319
898,"5,870","11,400",0.5149,,898,"5,870",11032.08281,0.532084476
899,"5,880","11,400",0.5158,,899,"5,880",11038.86713,0.532663355
900,"5,840","11,300",0.5168,,900,"5,840",10949.53062,0.533356196
901,"5,830","11,300",0.5159,,901,"5,830",10888.28905,0.535437659
902,"5,840","11,300",0.5168,,902,"5,840",10861.89379,0.537659465
903,"5,850","11,400",0.5132,,903,"5,850",10689.27264,0.547277649
